Date,Open,High,Low,Close,Volume,Adj Close
2014-08-08,27.65,27.96,27.44,27.94,2626100,27.94
2014-08-07,28.04,28.17,27.51,27.55,3232900,27.55
2014-08-06,27.95,28.27,27.81,27.98,2748200,27.98
2014-08-05,27.95,28.44,27.95,28.03,2730400,28.03
2014-08-04,28.32,28.50,27.99,28.13,4335800,28.13
2014-08-01,28.70,29.00,28.26,28.36,5572900,28.36
2014-07-31,28.86,29.16,28.78,28.82,4320100,28.82
2014-07-30,29.25,29.64,28.99,29.06,6960900,29.06
2014-07-29,29.60,29.68,29.29,29.33,5593400,29.33
2014-07-28,30.10,30.11,29.30,29.42,15091700,29.42
2014-07-25,30.25,30.47,29.78,30.06,4663600,30.06
2014-07-24,29.15,29.54,29.15,29.49,1042400,29.49
2014-07-23,29.12,29.19,28.95,29.05,1354700,29.05
2014-07-22,29.03,29.29,28.60,29.15,2805500,29.15
2014-07-21,28.59,28.81,28.49,28.64,1273500,28.64
2014-07-18,28.77,29.03,28.55,28.78,1479300,28.78
2014-07-17,29.18,29.18,28.40,28.52,2860200,28.52
2014-07-16,29.45,29.51,29.19,29.26,1305800,29.26
2014-07-15,29.65,29.87,29.12,29.46,2509900,29.46
2014-07-14,29.91,30.04,29.50,29.53,1484200,29.53
2014-07-11,29.20,29.74,29.02,29.70,1666500,29.70
2014-07-10,29.32,29.51,29.24,29.37,1945100,29.37
2014-07-09,30.89,30.89,29.45,29.74,1779100,29.74
2014-07-08,29.71,29.74,29.32,29.39,1694100,29.39
2014-07-07,29.72,29.80,29.41,29.77,1986900,29.77
2014-07-03,29.61,30.12,29.55,29.77,1428000,29.77
2014-07-02,29.53,29.71,29.24,29.34,1417600,29.34
2014-07-01,29.50,29.88,29.44,29.50,1849700,29.50
2014-06-30,29.60,29.70,29.36,29.47,1358900,29.47
2014-06-27,29.69,29.86,29.55,29.64,2157500,29.64
2014-06-26,29.56,29.81,29.25,29.77,1120700,29.77
2014-06-25,29.50,29.80,29.27,29.64,1963000,29.64
2014-06-24,29.95,30.33,29.55,29.61,1712100,29.61
2014-06-23,30.06,30.18,29.84,30.04,1542000,30.04
2014-06-20,29.95,30.39,29.93,30.11,3417400,30.11
2014-06-19,29.82,29.86,29.48,29.75,921800,29.75
2014-06-18,29.77,29.86,29.53,29.81,2072500,29.81
2014-06-17,29.16,29.87,29.10,29.77,2694200,29.77
2014-06-16,29.51,29.62,29.10,29.18,1328800,29.18
2014-06-13,29.67,29.93,29.47,29.62,1619600,29.62
2014-06-12,29.77,30.10,29.49,29.55,2212200,29.55
2014-06-11,29.90,29.98,29.70,29.83,1065000,29.83
2014-06-10,30.05,30.23,29.80,30.10,839600,30.10
2014-06-09,29.68,30.23,29.68,30.06,2289600,30.06
2014-06-06,29.34,29.84,29.30,29.79,2154300,29.79
2014-06-05,28.87,29.40,28.69,29.33,1189700,29.33
2014-06-04,28.85,29.12,28.79,28.89,904900,28.89
2014-06-03,28.66,29.13,28.60,28.96,1109100,28.96
2014-06-02,28.61,28.90,28.27,28.84,1695700,28.84
2014-05-30,28.47,28.80,28.31,28.59,876800,28.59
2014-05-29,28.54,28.66,28.36,28.60,1196600,28.60
2014-05-28,28.45,28.63,28.24,28.47,1553800,28.47
2014-05-27,28.50,28.86,28.41,28.50,1496800,28.50
2014-05-23,28.50,28.56,28.32,28.43,994000,28.43
2014-05-22,28.38,28.63,28.30,28.43,1143900,28.43
2014-05-21,28.36,28.62,28.21,28.39,1259200,28.39
2014-05-20,28.21,28.31,27.91,28.20,1663500,28.20
2014-05-19,27.89,28.43,27.89,28.30,1096900,28.26
2014-05-16,28.07,28.19,27.65,28.02,1552400,27.98
2014-05-15,28.29,28.47,27.67,28.27,1789300,28.23
2014-05-14,29.15,29.47,28.34,28.42,1954800,28.38
2014-05-13,29.57,29.62,29.17,29.23,1633900,29.19
2014-05-12,29.09,29.66,29.09,29.61,6201900,29.57
2014-05-09,29.07,29.29,28.90,29.04,2207500,29.00
2014-05-08,28.67,29.31,28.67,28.97,2272300,28.93
2014-05-07,28.38,28.79,28.32,28.76,1820200,28.72
2014-05-06,28.77,28.84,28.13,28.29,2397800,28.25
2014-05-05,28.72,28.80,28.36,28.74,3120200,28.70
2014-05-02,28.59,29.36,28.59,28.84,1772900,28.80
2014-05-01,28.87,29.10,28.41,28.61,2631000,28.57
2014-04-30,28.78,29.04,28.69,28.92,1902300,28.88
2014-04-29,28.79,29.05,28.68,28.91,2102200,28.87
2014-04-28,29.03,29.18,28.50,28.65,1823700,28.61
2014-04-25,29.07,29.31,28.91,29.00,1946700,28.96
2014-04-24,30.02,30.02,29.10,29.16,2400700,29.12
2014-04-23,29.70,29.84,29.43,29.80,1662300,29.76
2014-04-22,28.41,29.82,28.36,29.62,3765200,29.58
2014-04-21,30.24,30.36,29.86,30.23,2400200,30.19
2014-04-17,29.86,30.32,29.57,30.22,3507400,30.18
2014-04-16,29.73,29.90,29.32,29.88,2040000,29.84
2014-04-15,29.28,29.81,28.92,29.58,2718000,29.54
2014-04-14,29.65,29.92,28.91,29.28,2421800,29.24
2014-04-11,29.29,29.62,28.92,29.23,2897300,29.19
2014-04-10,30.67,30.72,29.55,29.58,2830500,29.54
2014-04-09,30.66,30.77,30.49,30.69,1783600,30.65
2014-04-08,30.67,30.91,30.37,30.55,2484300,30.51
2014-04-07,31.34,31.48,30.44,30.75,3231400,30.71
2014-04-04,31.73,31.87,31.30,31.37,2874100,31.33
2014-04-03,31.81,31.81,31.33,31.64,1575600,31.60
2014-04-02,31.27,31.75,31.06,31.69,4331200,31.65
2014-04-01,31.08,31.33,30.91,31.22,3614300,31.18
2014-03-31,30.44,31.09,30.44,30.98,2686200,30.94
2014-03-28,29.95,30.52,29.82,30.29,1918000,30.25
2014-03-27,30.39,30.39,29.38,29.83,6040700,29.79
2014-03-26,30.75,30.75,30.18,30.20,4781900,30.16
2014-03-25,30.40,30.90,30.16,30.60,4381400,30.56
2014-03-24,31.02,31.51,30.13,30.31,7469700,30.27
2014-03-21,32.55,32.55,30.88,31.24,15681100,31.20
2014-03-20,31.84,33.33,31.70,32.99,5481000,32.94
2014-03-19,31.38,32.33,31.21,31.97,3094800,31.92
2014-03-18,31.36,31.58,31.25,31.43,1158400,31.39
2014-03-17,31.69,31.69,31.26,31.41,1309500,31.37
2014-03-14,31.26,31.59,31.18,31.35,1030000,31.31
2014-03-13,31.56,31.82,31.23,31.38,1555400,31.34
2014-03-12,31.40,31.50,31.12,31.45,1481200,31.41
2014-03-11,31.52,31.63,31.14,31.47,1610800,31.43
2014-03-10,31.48,31.67,31.39,31.52,2220400,31.48
2014-03-07,31.71,32.02,31.54,31.57,1971100,31.53
2014-03-06,31.39,31.66,31.23,31.45,1091300,31.41
2014-03-05,31.32,31.48,31.12,31.32,1431300,31.28
2014-03-04,31.20,31.62,30.93,31.41,1396000,31.37
2014-03-03,30.89,31.06,30.69,30.92,1640000,30.88
2014-02-28,30.86,31.41,30.54,31.20,2727600,31.16
2014-02-27,30.47,30.80,30.32,30.79,1237600,30.75
2014-02-26,30.25,30.64,30.17,30.53,1769500,30.49
2014-02-25,30.33,30.34,29.96,30.26,1179500,30.22
2014-02-24,29.91,30.56,29.89,30.29,2027200,30.25
2014-02-21,29.84,30.13,29.74,29.91,2357400,29.87
2014-02-20,30.16,30.21,29.71,29.83,2255700,29.79
2014-02-19,30.84,30.87,30.06,30.12,2595600,30.08
2014-02-18,31.00,31.24,30.82,30.92,1872400,30.88
2014-02-14,30.69,31.15,30.45,30.90,2409300,30.82
2014-02-13,29.91,30.41,29.60,30.33,2271400,30.25
2014-02-12,29.94,30.49,29.87,30.10,2267800,30.02
2014-02-11,29.53,29.97,29.27,29.92,1566900,29.84
2014-02-10,29.60,29.64,29.15,29.56,2096500,29.48
2014-02-07,29.20,29.47,28.82,28.93,2027700,28.85
2014-02-06,28.75,29.13,28.61,29.04,1274000,28.96
2014-02-05,29.00,29.02,28.34,28.73,3457200,28.65
2014-02-04,28.01,28.96,27.97,28.58,3035600,28.50
